Gender,Age  group  (years),Population  estimate  ('000),Current  smokers  (%),Daily  smokers  (%),Occasional  smokers  (%),Former  smokers  (%),Never  smokers  (%),Table_ID,Canada  (%),NL  (%),PE  (%),NS  (%),NB  (%),QC  (%),ON  (%),MB  (%),SK  (%),AB  (%),BC  (%),Age group (years),Population estimate ('000),Zero (%),One time (%),Two to three times (%),Four or more times (%),Switched to vaping  (%),Used nicotine replacement products  (%),Made deal with a friend/family member  (%),Reduced number of cigarettes you smoked  (%),Used a 1-800 quitline or a smokers helpline  (%),Used an internet-based program  (%),Used a smart phone app  (%),Tried to quit smoking on your own  (%),Unnamed: 9,Unnamed: 10,Unnamed: 11,Age group  (years),Any tobacco productFootnote 2  (%),Cigarettes  (%),Cigars  (%),Little cigars or cigarillos  (%),Pipe  (%),Chewing tobacco  (%),Water-pipe w/ tobacco  (%),Vaping  (%),Daily (%),Less than daily but at least once a week (%),Less than weekly but at least once in past month (%),Not at all (%),Vaped e-liquid with nicotine  (%),Vaped e-liquid without nicotine  (%),Vaped e-liquid with unknown nicotine content  (%),Tobacco  (%),Fruit  (%),Candy  (%),Dessert  (%),Mint or Menthol  (%),Flavourless  (%),No usual flavour  (%),Other  (%),Curiosity  (%),Because I enjoy it  (%),To reduce stress  (%),Smoking cessationFootnote 2  (%),To use where smoking is not allowed  (%),To avoid returning to smoking  (%),Social sourcesFootnote 2  (%),Retail sourcesFootnote 3  (%),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Vaping status,Unnamed: 0,Much less harmful than cigarettes (%),Somewhat less harmful than cigarettes (%),About the same as cigarettes (%),Somewhat more harmful than cigarettes (%),Much more harmful than cigarettes (%),Don't know (%),Daily  (%),Less than daily but at least once a week  (%),Less than weekly but at least once in past month  (%),Not at all  (%),Canada,NL,PE,NS,NB,QC,ON,MB,SK,AB,BC
All Genders,All age  groups,30948,11.90%,8.6  [7.8-9.4],3.3  [2.8-3.8],24.5Footnote ↓  [23.4-25.6],63.7  [62.4-65.0],Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,All age  groups,15265,12.7  [11.2-14.1],8.7  [7.5-9.9],3.9  [3.1-4.8],26.0  [24.3-27.6],61.4  [59.4-63.3],Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,All age  groups,15668,11.1  [9.9-12.2],8.4  [7.4-9.5],2.6  [2.0-3.2],23.0  [21.5-24.5],65.9  [64.2-67.7],Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,15-19,2816,5.1  [3.7-6.5],Footnote #,2.9Footnote *  [1.8-4.0],Footnote #,93.4  [91.9-95.0],Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,20-24,1804,13.3  [10.8-15.8],5.6  [4.0-7.2],7.7  [5.7-9.7],5.2  [3.6-6.8],81.5Footnote ↓  [78.7-84.2],Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,25+,26328,12.5Footnote ↑  [11.4-13.6],9.5Footnote ↓  [8.5-10.4],3.0  [2.4-3.6],28.2  [27.0-29.5],59.3  [57.8-60.7],Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,25-44,9985,13.3  [11.2-15.3],8.6  [6.9-10.3],4.6  [3.4-5.9],17.1  [15.1-19.1],69.7  [67.0-72.3],Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,45+,16343,12.0  [10.9-13.2],10.0  [8.9-11.1],2.0  [1.5-2.5],35.1  [33.4-36.7],52.9  [51.1-54.6],Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,15-19,1439,6.0Footnote *  [3.8-8.1],Footnote #,Footnote #,Footnote #,92.6  [90.3-94.9],Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,20-24,946,15.3  [11.7-19.0],6.1Footnote *  [3.7-8.5],9.2  [6.3-12.1],8.6  [5.9-11.4],76.0  [71.8-80.3],Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
